customer_id,meter_id,reading_date,energy_consumed,location,billing_amount,meter_status,reading_type,customer_type,tariff_plan,previous_reading,reading_time,communication_status,meter_install_date,meter_make,fault_code,invoice_generated
CUST1000,MTR2000,2025-04-28,1095.64,Ormanjhi,6602.59,Tampered,Estimated,Commercial,Commercial,1051.69,15:00,Success,2019-05-30,Honeywell,FC03,Yes
CUST1001,MTR2001,2025-01-26,895.85,Namkum,4121.88,Tampered,Estimated,Industrial,Industrial,872.32,17:00,Success,2019-11-01,ABB,FC02,No
CUST1002,MTR2002,2025-03-15,580.61,Chutia,2672.15,Faulty,Manual,Industrial,Commercial,576.93,16:45,Failure,2016-05-01,ABB,None,No
CUST1003,MTR2003,2025-03-07,1202.6,Silli,6753.4,Offline,Automatic,Residential,Industrial,1177.14,16:00,Success,2015-06-09,ABB,FC05,No
CUST1004,MTR2004,2025-04-02,803.03,Ratu,4587.33,Faulty,Manual,Industrial,Commercial,794.9,19:30,Failure,2020-09-08,Honeywell,FC04,No
CUST1005,MTR2005,2025-04-25,484.7,Ranchi,2538.24,Active,Manual,Industrial,Commercial,444.86,23:00,Failure,2017-12-23,Honeywell,FC04,Yes
CUST1006,MTR2006,2024-12-15,896.11,Kanke,4972.03,Tampered,Automatic,Industrial,Domestic,894.53,22:00,Success,2015-03-19,GE,FC02,No
CUST1007,MTR2007,2025-01-09,648.79,Ormanjhi,3452.05,Tampered,Estimated,Industrial,Domestic,613.5,16:15,Failure,2020-05-13,Honeywell,FC03,No
CUST1008,MTR2008,2025-01-15,716.51,Lohardaga,3714.86,Offline,Estimated,Industrial,Industrial,684.34,22:30,Failure,2017-02-26,ABB,FC02,No
CUST1009,MTR2009,2025-01-28,1415.15,Khelari,8550.83,Faulty,Estimated,Industrial,Commercial,1399.3,11:30,Failure,2016-05-14,Honeywell,FC05,No
CUST1010,MTR2010,2025-03-13,1236.65,Ratu,6283.3,Offline,Estimated,Residential,Commercial,1190.45,20:30,Failure,2017-05-26,ABB,FC04,No
CUST1011,MTR2011,2025-04-24,1059.45,Ratu,4998.97,Faulty,Automatic,Residential,Industrial,1014.19,07:15,Success,2016-02-15,GE,FC02,No
CUST1012,MTR2012,2024-12-27,1037.73,Ratu,4680.54,Faulty,Manual,Industrial,Commercial,1013.86,06:30,Failure,2018-03-15,Siemens,None,Yes
CUST1013,MTR2013,2025-04-17,1121.1,Namkum,7092.59,Faulty,Manual,Residential,Domestic,1071.24,12:45,Success,2018-03-31,Siemens,None,No
CUST1014,MTR2014,2025-04-26,924.04,Silli,4684.07,Tampered,Automatic,Industrial,Commercial,910.4,03:30,Success,2020-02-23,Schneider,FC05,Yes
CUST1015,MTR2015,2024-12-05,1118.1,Khelari,6301.12,Faulty,Automatic,Industrial,Industrial,1073.25,13:30,Success,2019-06-30,Siemens,FC01,Yes
CUST1016,MTR2016,2025-04-03,519.22,Bundu,2343.58,Tampered,Automatic,Commercial,Commercial,471.52,09:00,Failure,2019-01-12,ABB,None,Yes
CUST1017,MTR2017,2025-03-31,494.87,Chutia,2905.95,Offline,Estimated,Residential,Industrial,449.06,09:30,Success,2017-06-16,ABB,FC03,Yes
CUST1018,MTR2018,2025-03-28,1134.22,Ramgarh,6047.31,Tampered,Estimated,Industrial,Domestic,1096.13,21:00,Failure,2020-12-03,Schneider,None,Yes
CUST1019,MTR2019,2024-12-17,1251.72,Jamshedpur,6138.83,Faulty,Automatic,Commercial,Industrial,1229.63,21:15,Failure,2016-01-08,Honeywell,FC03,Yes
CUST1020,MTR2020,2025-03-28,241.32,Muri,1306.41,Active,Estimated,Commercial,Industrial,200.97,23:00,Failure,2017-11-08,Siemens,FC05,Yes
CUST1021,MTR2021,2025-04-29,155.89,Muri,808.92,Active,Estimated,Residential,Domestic,106.58,15:00,Failure,2019-08-02,ABB,FC01,No
CUST1022,MTR2022,2025-03-07,1489.64,Chutia,8039.7,Tampered,Manual,Residential,Industrial,1441.43,17:15,Failure,2016-04-30,ABB,FC04,No
CUST1023,MTR2023,2025-04-16,234.65,Bundu,1447.71,Active,Manual,Commercial,Industrial,198.7,13:45,Success,2017-10-10,GE,FC02,Yes
CUST1024,MTR2024,2025-02-10,323.3,Tatisilwai,1475.68,Tampered,Estimated,Residential,Domestic,313,03:00,Failure,2015-07-19,ABB,FC05,Yes
CUST1025,MTR2025,2025-03-14,686.5,Lohardaga,3387.56,Active,Automatic,Industrial,Commercial,674.79,23:30,Failure,2017-08-28,Schneider,FC01,Yes
CUST1026,MTR2026,2025-03-17,485.73,Namkum,2726.61,Faulty,Estimated,Industrial,Commercial,457.94,01:30,Failure,2020-11-18,Schneider,FC05,No
CUST1027,MTR2027,2025-03-16,266.37,Chutia,1296.62,Tampered,Automatic,Residential,Commercial,223.49,04:45,Success,2019-08-18,GE,FC04,Yes
CUST1028,MTR2028,2025-03-11,402.14,Ormanjhi,2075.25,Active,Manual,Commercial,Domestic,375.36,06:00,Failure,2019-03-25,Honeywell,FC04,Yes
CUST1029,MTR2029,2024-12-20,322.84,Lohardaga,1592.9,Faulty,Manual,Commercial,Domestic,312.25,06:00,Failure,2017-09-20,Honeywell,FC05,Yes
CUST1030,MTR2030,2025-03-13,1376.93,Lohardaga,7081.87,Offline,Manual,Commercial,Industrial,1344.49,09:30,Failure,2020-10-01,GE,FC03,Yes
CUST1031,MTR2031,2025-04-01,1154.36,Silli,7305.55,Offline,Manual,Commercial,Domestic,1126.23,07:15,Success,2017-12-04,Honeywell,FC04,No
CUST1032,MTR2032,2025-02-15,271,Silli,1344.17,Faulty,Manual,Industrial,Industrial,223.83,10:30,Failure,2020-07-02,GE,FC01,No
CUST1033,MTR2033,2025-01-14,252.94,Lohardaga,1385.26,Active,Estimated,Residential,Domestic,205.68,21:00,Success,2019-08-17,ABB,FC05,Yes
CUST1034,MTR2034,2024-12-19,1075.4,Ranchi,5309.72,Tampered,Manual,Residential,Industrial,1043.51,19:45,Failure,2015-03-06,Siemens,FC04,No
CUST1035,MTR2035,2024-12-05,74.25,Pundag,413.68,Offline,Automatic,Industrial,Industrial,40.55,05:00,Success,2020-11-17,ABB,FC01,Yes
CUST1036,MTR2036,2025-05-09,813.36,Ramgarh,4094.98,Tampered,Automatic,Commercial,Commercial,790.41,07:15,Failure,2015-11-27,Siemens,None,No
CUST1037,MTR2037,2025-03-09,596.9,Chakradharpur,2753.04,Active,Estimated,Residential,Domestic,571.91,13:30,Success,2020-12-03,Siemens,FC01,Yes
CUST1038,MTR2038,2025-05-28,1336.95,Chakradharpur,6741.16,Active,Estimated,Commercial,Industrial,1308.77,01:15,Failure,2015-03-06,ABB,FC04,Yes
CUST1039,MTR2039,2025-03-13,1396.87,Khelari,6739.76,Faulty,Estimated,Commercial,Industrial,1352.04,10:45,Success,2015-11-18,Honeywell,FC05,No
CUST1040,MTR2040,2024-12-15,191.64,Bundu,1183.83,Offline,Estimated,Industrial,Industrial,171.8,10:00,Failure,2020-01-20,GE,FC01,No
CUST1041,MTR2041,2025-04-22,1414.66,Muri,6891.48,Tampered,Automatic,Industrial,Commercial,1374.76,22:00,Success,2018-01-02,ABB,FC03,Yes
CUST1042,MTR2042,2025-03-11,509.18,Tatisilwai,2384.51,Offline,Manual,Commercial,Commercial,504.07,02:15,Failure,2020-01-13,Honeywell,FC04,No
CUST1043,MTR2043,2024-12-28,88.08,Ramgarh,493.99,Offline,Manual,Residential,Commercial,67.39,02:15,Success,2019-04-09,ABB,FC01,No
CUST1044,MTR2044,2025-02-17,439.19,Ratu,2031.93,Tampered,Manual,Commercial,Commercial,414.98,02:30,Failure,2017-10-07,GE,FC04,Yes
CUST1045,MTR2045,2025-03-29,205.11,Khelari,925.77,Tampered,Manual,Industrial,Commercial,164.91,10:45,Failure,2019-10-30,Honeywell,FC01,No
CUST1046,MTR2046,2025-02-22,924.66,Ormanjhi,5046.81,Faulty,Manual,Commercial,Commercial,887.92,20:45,Success,2018-08-27,GE,FC02,No
CUST1047,MTR2047,2025-03-05,215.14,Ormanjhi,1222.95,Faulty,Estimated,Industrial,Domestic,167.49,14:15,Failure,2018-04-08,Siemens,FC03,No
CUST1048,MTR2048,2025-01-06,968.34,Bundu,4846.89,Faulty,Estimated,Commercial,Commercial,964.64,19:45,Failure,2020-12-28,Honeywell,FC05,No
CUST1049,MTR2049,2025-04-20,103.31,Ramgarh,609.87,Active,Automatic,Residential,Industrial,70.08,05:00,Failure,2018-09-20,GE,None,Yes
CUST1050,MTR2050,2024-12-27,425.17,Jamshedpur,2548.34,Faulty,Manual,Commercial,Commercial,402.02,21:15,Failure,2015-04-11,GE,None,No
CUST1051,MTR2051,2025-03-18,1384.79,Hatia,6553.02,Faulty,Manual,Commercial,Commercial,1362.02,06:45,Failure,2020-05-04,Siemens,FC03,No
CUST1052,MTR2052,2025-02-21,147.4,Namkum,902.14,Active,Automatic,Commercial,Industrial,141.93,05:15,Success,2016-10-17,Schneider,FC04,No
CUST1053,MTR2053,2025-03-30,386.19,Chutia,2224.27,Faulty,Estimated,Industrial,Commercial,366.41,23:15,Failure,2019-10-26,GE,None,Yes
CUST1054,MTR2054,2025-01-23,453.6,Hatia,2564.97,Faulty,Manual,Commercial,Domestic,430.72,08:45,Failure,2019-05-11,Honeywell,FC03,Yes
CUST1055,MTR2055,2025-03-01,560.38,Kudra,3213.63,Offline,Estimated,Industrial,Domestic,526.77,10:00,Success,2018-06-04,Siemens,FC01,No
CUST1056,MTR2056,2025-05-28,254.97,Chutia,1360.64,Faulty,Estimated,Commercial,Commercial,245.68,20:15,Success,2020-06-28,Schneider,FC01,Yes
CUST1057,MTR2057,2025-02-20,1270.88,Namkum,7918.91,Active,Manual,Residential,Domestic,1230.12,17:45,Failure,2020-07-07,GE,FC05,No
CUST1058,MTR2058,2025-04-06,292.52,Ranchi,1781.96,Faulty,Manual,Residential,Commercial,281.28,09:15,Failure,2020-07-21,Honeywell,FC04,Yes
CUST1059,MTR2059,2025-04-27,215.6,Lohardaga,1325.2,Offline,Estimated,Residential,Industrial,193.53,06:45,Success,2017-10-10,Schneider,None,No
CUST1060,MTR2060,2025-02-07,555.44,Hatia,2987.23,Active,Automatic,Residential,Industrial,526.04,11:45,Success,2016-07-24,ABB,FC01,Yes
CUST1061,MTR2061,2025-04-26,558.68,Pundag,3180.96,Faulty,Manual,Industrial,Commercial,544.21,08:00,Success,2019-08-13,Siemens,FC02,Yes
CUST1062,MTR2062,2025-05-30,1305.81,Bundu,6258.08,Offline,Automatic,Industrial,Commercial,1281.34,18:30,Failure,2019-03-17,GE,None,Yes
CUST1063,MTR2063,2025-03-15,797.64,Pundag,4697.63,Offline,Manual,Commercial,Commercial,768.54,23:00,Failure,2019-01-07,Siemens,FC04,No
CUST1064,MTR2064,2025-01-26,1453.79,Ormanjhi,7980.48,Offline,Manual,Commercial,Industrial,1424.89,18:45,Failure,2015-07-18,Siemens,None,No
CUST1065,MTR2065,2024-12-06,230.14,Kanke,1238.75,Active,Manual,Residential,Industrial,184.67,20:30,Success,2018-01-27,Siemens,FC05,No
CUST1066,MTR2066,2025-02-04,169.51,Kanke,780.35,Offline,Estimated,Industrial,Domestic,148.05,02:00,Success,2017-05-24,GE,None,Yes
CUST1067,MTR2067,2025-05-02,377.98,Kudra,1707.93,Offline,Automatic,Commercial,Industrial,371.37,02:15,Failure,2016-01-01,Siemens,None,No
CUST1068,MTR2068,2025-03-06,1327.43,Ratu,6989.51,Faulty,Estimated,Industrial,Domestic,1324.01,18:00,Success,2019-12-08,Schneider,FC05,Yes
CUST1069,MTR2069,2025-05-11,1134.99,Muri,6505.94,Tampered,Automatic,Residential,Domestic,1127.99,03:45,Failure,2019-10-25,Schneider,FC01,Yes
CUST1070,MTR2070,2025-02-10,984.7,Bundu,5521.01,Offline,Estimated,Residential,Industrial,940.91,06:15,Failure,2018-04-25,Siemens,FC01,No
CUST1071,MTR2071,2025-03-10,213.48,Chakradharpur,1233.1,Active,Estimated,Residential,Commercial,166.78,04:45,Failure,2019-02-05,Honeywell,FC05,Yes
CUST1072,MTR2072,2025-04-01,1433.96,Hatia,6500.68,Active,Automatic,Commercial,Domestic,1431.97,01:45,Failure,2020-08-14,GE,FC03,No
CUST1073,MTR2073,2024-12-23,978.78,Lohardaga,5610.46,Offline,Automatic,Commercial,Domestic,953.21,06:15,Failure,2019-05-20,Honeywell,FC05,Yes
CUST1074,MTR2074,2025-02-19,1063.08,Bundu,4906.98,Active,Manual,Residential,Commercial,1032.47,01:30,Success,2016-05-04,Siemens,FC05,Yes
CUST1075,MTR2075,2025-05-30,66.46,Chakradharpur,425.74,Offline,Automatic,Commercial,Domestic,28.97,08:00,Success,2018-10-04,GE,FC02,Yes
CUST1076,MTR2076,2025-02-07,1082.87,Hatia,5947.44,Offline,Automatic,Commercial,Industrial,1074.53,05:30,Success,2016-04-17,ABB,FC05,Yes
CUST1077,MTR2077,2024-12-13,1295.1,Ranchi,6461.39,Tampered,Manual,Commercial,Domestic,1286.15,01:45,Success,2018-08-11,ABB,FC03,No
CUST1078,MTR2078,2025-02-09,1247.7,Ramgarh,5912.6,Active,Automatic,Residential,Industrial,1198.63,12:00,Failure,2018-03-02,Schneider,FC02,Yes
CUST1079,MTR2079,2025-04-22,712.28,Ramgarh,3491.13,Offline,Estimated,Industrial,Domestic,689.08,18:45,Success,2017-10-01,ABB,None,No
CUST1080,MTR2080,2024-12-08,387.85,Ramgarh,2238.63,Active,Manual,Residential,Industrial,369.04,23:30,Success,2017-04-20,Honeywell,FC01,No
CUST1081,MTR2081,2025-04-06,1443.72,Ratu,8551.59,Active,Automatic,Residential,Industrial,1423.07,11:45,Success,2016-01-27,Honeywell,FC01,No
CUST1082,MTR2082,2024-12-21,908.25,Namkum,4877.27,Faulty,Automatic,Commercial,Commercial,865.7,12:30,Failure,2020-01-29,Schneider,FC01,Yes
CUST1083,MTR2083,2025-01-22,247.36,Tatisilwai,1190,Faulty,Manual,Commercial,Commercial,227.03,17:30,Success,2020-01-26,Schneider,FC03,No
CUST1084,MTR2084,2025-01-01,181.11,Khelari,1114.33,Active,Automatic,Commercial,Domestic,176.55,07:30,Failure,2020-10-04,Siemens,FC05,No
CUST1085,MTR2085,2025-02-06,1239.13,Kanke,5653.11,Tampered,Manual,Industrial,Industrial,1211.62,03:45,Success,2016-07-26,Siemens,None,Yes
CUST1086,MTR2086,2025-01-27,239.54,Chutia,1256.26,Active,Estimated,Industrial,Commercial,193.67,02:00,Success,2017-03-20,GE,FC01,Yes
CUST1087,MTR2087,2025-02-24,227.67,Kudra,1047.57,Tampered,Estimated,Commercial,Commercial,226.2,21:45,Success,2018-12-20,ABB,FC01,No
CUST1088,MTR2088,2025-02-11,696.72,Ratu,3183.52,Faulty,Estimated,Commercial,Commercial,676.12,17:45,Success,2015-12-26,Schneider,FC03,Yes
CUST1089,MTR2089,2025-03-19,339.21,Jamshedpur,1695.47,Active,Manual,Industrial,Commercial,315.23,15:30,Failure,2019-05-10,Schneider,FC01,Yes
CUST1090,MTR2090,2025-02-21,915.82,Ranchi,5761.91,Offline,Automatic,Commercial,Industrial,897.95,18:15,Success,2016-02-15,ABB,FC05,Yes
CUST1091,MTR2091,2025-02-08,823.85,Namkum,4966.25,Faulty,Estimated,Commercial,Commercial,777.09,05:15,Success,2018-07-26,Schneider,FC04,Yes
CUST1092,MTR2092,2025-05-31,1065.81,Ratu,5996.48,Faulty,Manual,Industrial,Commercial,1057.03,01:00,Success,2017-08-10,Honeywell,FC01,Yes
CUST1093,MTR2093,2025-04-15,743.08,Silli,4708,Faulty,Automatic,Commercial,Industrial,734.21,10:00,Success,2016-08-28,Honeywell,FC05,Yes
CUST1094,MTR2094,2024-12-30,1277.4,Ramgarh,8202.34,Offline,Estimated,Industrial,Commercial,1248.1,10:30,Failure,2016-07-12,ABB,FC05,No
CUST1095,MTR2095,2025-05-14,1442.96,Silli,6996.05,Offline,Automatic,Industrial,Industrial,1402.24,12:30,Failure,2016-06-05,ABB,FC05,Yes
CUST1096,MTR2096,2025-05-30,1425.61,Chutia,8840.94,Active,Automatic,Industrial,Commercial,1379.56,19:15,Success,2020-07-25,ABB,FC02,Yes
CUST1097,MTR2097,2025-01-31,552.87,Silli,2673.55,Active,Estimated,Industrial,Industrial,516.41,10:45,Success,2017-12-22,ABB,FC01,Yes
CUST1098,MTR2098,2025-03-01,422.15,Tatisilwai,2507.92,Active,Manual,Commercial,Industrial,401.17,05:45,Failure,2019-04-01,Schneider,FC04,No
CUST1099,MTR2099,2024-12-27,1251.77,Bundu,6040.18,Active,Automatic,Commercial,Domestic,1235.83,03:00,Failure,2016-11-27,GE,FC01,Yes
CUST1100,MTR2100,2025-04-21,1415.66,Hatia,7327.32,Tampered,Estimated,Residential,Commercial,1368.54,05:45,Success,2015-08-08,Siemens,FC02,Yes
CUST1101,MTR2101,2025-01-19,643.46,Lohardaga,3824.78,Offline,Estimated,Commercial,Commercial,631.58,01:45,Failure,2016-09-21,Siemens,FC02,Yes
CUST1102,MTR2102,2025-03-21,177.06,Chakradharpur,867.48,Active,Automatic,Residential,Industrial,162.47,02:45,Success,2018-06-17,GE,FC03,No
CUST1103,MTR2103,2025-05-20,434.26,Lohardaga,2290.75,Offline,Manual,Commercial,Domestic,411.97,08:45,Failure,2017-12-14,ABB,FC02,Yes
CUST1104,MTR2104,2025-01-09,1140.74,Tatisilwai,5328.87,Offline,Estimated,Commercial,Industrial,1129.36,01:45,Failure,2020-04-28,Honeywell,FC01,No
CUST1105,MTR2105,2025-02-16,164.48,Namkum,905.33,Faulty,Automatic,Commercial,Domestic,117.03,05:15,Success,2016-05-31,Siemens,FC03,Yes
CUST1106,MTR2106,2025-05-25,681.32,Ratu,4202.53,Offline,Manual,Industrial,Domestic,676.97,17:45,Failure,2018-02-05,Honeywell,FC03,Yes
CUST1107,MTR2107,2025-05-30,953.43,Jamshedpur,5781,Active,Manual,Residential,Domestic,925.1,18:00,Success,2016-02-18,Schneider,FC04,No
CUST1108,MTR2108,2025-03-17,433,Chakradharpur,2443.87,Tampered,Automatic,Residential,Commercial,412.85,19:45,Success,2019-06-10,Schneider,FC05,Yes
CUST1109,MTR2109,2024-12-14,1131.34,Pundag,7120.72,Active,Manual,Commercial,Commercial,1117.32,15:00,Success,2016-07-04,Schneider,FC05,No
CUST1110,MTR2110,2025-02-22,440.66,Muri,2516.15,Active,Automatic,Commercial,Domestic,394.99,13:45,Failure,2015-08-19,Honeywell,FC01,Yes
CUST1111,MTR2111,2025-02-19,1078.88,Chutia,5147.66,Active,Automatic,Residential,Domestic,1037.03,07:00,Failure,2015-07-27,Schneider,FC05,Yes
CUST1112,MTR2112,2025-02-10,584.11,Kudra,3218.59,Active,Estimated,Residential,Domestic,565.49,19:45,Success,2020-04-27,Honeywell,FC04,No
CUST1113,MTR2113,2025-02-28,287.09,Pundag,1721.94,Active,Manual,Residential,Commercial,284.61,18:15,Success,2017-07-11,ABB,FC02,No
CUST1114,MTR2114,2025-04-12,79.08,Ranchi,430.84,Faulty,Estimated,Residential,Industrial,39.04,07:30,Failure,2018-02-01,GE,FC03,No
CUST1115,MTR2115,2025-03-29,415.4,Kudra,2120.32,Tampered,Estimated,Residential,Domestic,389.82,21:30,Failure,2018-05-07,Siemens,FC03,Yes
CUST1116,MTR2116,2025-02-26,1483.12,Silli,9229.43,Offline,Estimated,Industrial,Industrial,1468.18,04:15,Success,2019-07-14,Schneider,FC05,Yes
CUST1117,MTR2117,2024-12-08,1000.33,Khelari,5020.51,Tampered,Manual,Commercial,Industrial,998.56,22:15,Failure,2017-06-29,Honeywell,FC05,No
CUST1118,MTR2118,2025-05-22,569.82,Khelari,3527.66,Faulty,Manual,Residential,Commercial,563.42,08:15,Failure,2016-01-01,ABB,FC02,Yes
CUST1119,MTR2119,2025-02-18,659.69,Silli,3459,Offline,Manual,Residential,Commercial,657.01,20:00,Failure,2017-03-07,Honeywell,None,No
CUST1120,MTR2120,2025-04-16,482.62,Namkum,3012.37,Faulty,Automatic,Residential,Commercial,462.16,18:45,Success,2018-07-19,ABB,None,No
CUST1121,MTR2121,2025-02-25,965,Kanke,4947.39,Active,Automatic,Commercial,Commercial,954.53,05:15,Failure,2015-12-27,ABB,FC04,No
CUST1122,MTR2122,2025-05-13,672.64,Muri,4325.52,Tampered,Automatic,Residential,Industrial,662.67,11:00,Failure,2020-12-15,ABB,None,Yes
CUST1123,MTR2123,2025-05-11,1113.72,Bundu,6556.52,Offline,Manual,Residential,Domestic,1094.54,18:30,Success,2015-09-25,Siemens,FC02,No
CUST1124,MTR2124,2025-03-28,1105.36,Jamshedpur,5720.98,Faulty,Manual,Commercial,Commercial,1067.85,05:45,Success,2017-07-24,ABB,FC05,Yes
CUST1125,MTR2125,2025-01-25,1114.41,Jamshedpur,5391.48,Offline,Estimated,Industrial,Domestic,1095.65,20:30,Success,2015-07-16,Siemens,FC05,Yes
CUST1126,MTR2126,2024-12-14,1050.14,Muri,5658.81,Active,Estimated,Commercial,Commercial,1015.05,06:00,Failure,2019-09-20,Siemens,FC05,No
CUST1127,MTR2127,2025-05-10,928.17,Ratu,4954.25,Active,Estimated,Industrial,Industrial,922.28,03:00,Failure,2017-03-24,Honeywell,FC01,No
CUST1128,MTR2128,2025-04-14,1461.02,Ramgarh,8630.06,Offline,Automatic,Residential,Industrial,1436.2,06:45,Failure,2017-08-18,Siemens,None,Yes
CUST1129,MTR2129,2024-12-30,1261.09,Chakradharpur,6051.07,Active,Estimated,Residential,Industrial,1224.91,08:15,Failure,2018-04-27,Schneider,FC03,Yes
CUST1130,MTR2130,2024-12-27,1229.11,Namkum,7626.01,Offline,Estimated,Commercial,Commercial,1192.18,03:00,Success,2016-07-20,ABB,FC02,No
CUST1131,MTR2131,2025-03-24,1434.88,Pundag,8977.97,Active,Manual,Commercial,Domestic,1429.19,12:45,Failure,2019-04-29,GE,FC03,Yes
CUST1132,MTR2132,2024-12-30,242.14,Namkum,1564.98,Faulty,Automatic,Commercial,Industrial,218.01,18:45,Success,2019-04-05,Schneider,FC04,Yes
CUST1133,MTR2133,2025-05-26,1325.93,Ratu,7247.74,Tampered,Automatic,Commercial,Commercial,1323.63,08:30,Success,2020-11-19,Honeywell,FC05,Yes
CUST1134,MTR2134,2025-05-22,1316.06,Jamshedpur,7299.14,Active,Manual,Industrial,Industrial,1303.63,11:45,Success,2015-08-12,Siemens,FC05,Yes
CUST1135,MTR2135,2025-04-10,1280.83,Chakradharpur,7990.88,Active,Manual,Commercial,Domestic,1264.29,08:00,Success,2019-03-31,GE,FC01,Yes
CUST1136,MTR2136,2025-03-29,694.07,Kudra,3245.5,Tampered,Manual,Commercial,Domestic,645.04,23:00,Success,2019-07-11,GE,None,Yes
CUST1137,MTR2137,2024-12-25,1198.09,Khelari,7524.27,Faulty,Estimated,Industrial,Commercial,1150.57,11:00,Success,2020-02-05,Schneider,FC04,No
CUST1138,MTR2138,2025-05-19,576.78,Kudra,2727.04,Faulty,Automatic,Commercial,Commercial,535.29,09:30,Success,2015-07-07,ABB,FC03,Yes
CUST1139,MTR2139,2025-03-16,205.09,Ormanjhi,999.83,Tampered,Automatic,Commercial,Domestic,169.25,03:45,Success,2016-05-19,GE,FC03,Yes
CUST1140,MTR2140,2025-04-08,56.29,Namkum,315.59,Tampered,Estimated,Commercial,Industrial,17.24,05:15,Success,2016-02-29,GE,FC05,No
CUST1141,MTR2141,2025-04-10,1328.02,Muri,8577.68,Faulty,Manual,Commercial,Commercial,1279.5,14:15,Success,2019-08-18,Honeywell,FC05,No
CUST1142,MTR2142,2025-05-30,844.32,Silli,5001.54,Faulty,Automatic,Residential,Industrial,808.6,21:30,Success,2016-12-29,Honeywell,FC04,No
CUST1143,MTR2143,2024-12-31,1153.12,Lohardaga,6296.89,Tampered,Estimated,Industrial,Industrial,1138.82,13:00,Success,2015-04-14,GE,FC01,Yes
CUST1144,MTR2144,2025-05-22,132.08,Pundag,792.53,Faulty,Manual,Industrial,Commercial,124.76,01:30,Success,2015-05-13,Schneider,FC03,Yes
CUST1145,MTR2145,2025-05-08,1308.65,Lohardaga,8152.47,Tampered,Automatic,Industrial,Industrial,1294.27,21:00,Failure,2019-05-07,GE,FC05,No
CUST1146,MTR2146,2025-04-22,128.01,Pundag,628.04,Tampered,Automatic,Industrial,Industrial,92.53,11:15,Success,2018-04-19,GE,FC01,Yes
CUST1147,MTR2147,2025-01-18,1445.59,Jamshedpur,6850.23,Active,Manual,Commercial,Industrial,1432.38,05:30,Success,2018-09-15,GE,FC05,Yes
CUST1148,MTR2148,2024-12-12,272.87,Silli,1553.66,Offline,Manual,Industrial,Industrial,254.97,22:30,Success,2017-01-23,Honeywell,None,Yes
CUST1149,MTR2149,2025-03-18,837.47,Chutia,3922.62,Faulty,Automatic,Industrial,Commercial,820.92,09:15,Failure,2015-02-06,Siemens,FC05,No
